Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area,Score A10,Coverage A10,# Peptides A10,# PSM A10,Score B10,Coverage B10,# Peptides B10,# PSM B10,Score C10,Coverage C10,# Peptides C10,# PSM C10,Score D10,Coverage D10,# Peptides D10,# PSM D10,Score E10,Coverage E10,# Peptides E10,# PSM E10,Score F10,Coverage F10,# Peptides F10,# PSM F10,Score G10,Coverage G10,# Peptides G10,# PSM G10,Score H10,Coverage H10,# Peptides H10,# PSM H10,Score I10,Coverage I10,# Peptides I10,# PSM I10,Score J10,Coverage J10,# Peptides J10,# PSM J10,Score K10,Coverage K10,# Peptides K10,# PSM K10,Score L10,Coverage L10,# Peptides L10,# PSM L10,Score M10,Coverage M10,# Peptides M10,# PSM M10,Score N10,Coverage N10,# Peptides N10,# PSM N10,Score O10,Coverage O10,# Peptides O10,# PSM O10,# AAs,MW [kDa],calc. pI
P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4 - [FLNA_HUMAN],58.18,2,97,104,596,0.000E0,2.704E8,1.142E8,0.000E0,1.146E8,3.331E7,1.726E6,2.260E8,1.175E8,0.000E0,2.301E8,1.294E8,0.000E0,4.460E8,2.956E6,,,,,100.39 ,10.09,20,33,291.64 ,25.31,47,99,,,,,48.76 ,7.29,14,16,15.69 ,2.49,7,9,2.13 ,1.02,1,1,139.03 ,15.19,32,48,265.87 ,21.68,41,90,,,,,127.12 ,12.28,25,38,239.32 ,24.22,46,91,,,,,534.13 ,55.50,98,169,4.01 ,0.76,2,2,2647,280.6,6.06
P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6 - [K2C1_HUMAN]",57.45,2,29,36,480,8.338E6,1.921E8,3.670E8,1.602E8,2.500E8,7.271E7,4.503E7,2.652E8,3.299E8,3.063E8,2.393E8,2.888E8,1.849E8,6.720E8,1.578E7,5.36 ,4.66,3,5,53.24 ,17.39,9,16,254.99 ,42.08,21,84,60.51 ,22.83,13,17,61.62 ,26.55,11,17,27.87 ,11.65,7,10,16.29 ,6.83,4,5,112.55 ,29.81,17,32,232.70 ,43.01,22,80,76.84 ,26.86,14,24,81.32 ,25.47,13,23,225.49 ,42.24,22,79,82.79 ,22.83,13,26,204.36 ,47.83,29,59,2.90 ,2.95,2,3,644,66.0,8.12
P07355,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2 - [ANXA2_HUMAN],56.34,2,20,20,190,0.000E0,6.745E7,3.104E8,0.000E0,4.061E7,6.724E7,0.000E0,8.628E7,3.730E8,0.000E0,6.798E7,4.199E8,1.328E7,1.847E8,6.405E5,,,,,6.60 ,5.01,2,2,125.71 ,43.95,15,44,,,,,2.46 ,2.95,1,1,12.28 ,13.57,5,6,,,,,16.93 ,14.45,6,7,156.08 ,43.95,15,54,,,,,14.29 ,10.32,4,5,144.92 ,43.36,15,50,3.32 ,2.95,1,1,57.23 ,42.48,14,19,2.09 ,3.24,1,1,339,38.6,7.75
P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2 - [NPM_HUMAN],56.12,2,14,14,141,0.000E0,1.279E9,8.824E7,2.639E7,0.000E0,9.311E7,2.120E7,5.731E8,3.363E8,4.376E7,5.081E8,3.566E8,1.887E7,1.376E9,0.000E0,,,,,26.75 ,28.23,5,9,29.49 ,36.73,7,16,2.81 ,3.06,1,1,,,,,5.24 ,10.20,2,2,2.86 ,3.06,1,1,19.64 ,29.59,6,10,81.75 ,44.90,10,35,2.96 ,3.06,1,1,24.45 ,21.77,4,7,55.53 ,40.82,10,25,7.13 ,13.95,2,3,127.56 ,45.92,9,31,,,,,294,32.6,4.78
P78310,Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR PE=1 SV=1 - [CXAR_HUMAN],53.42,1,17,17,131,0.000E0,0.000E0,2.083E8,0.000E0,0.000E0,1.085E8,0.000E0,0.000E0,2.456E8,0.000E0,0.000E0,2.963E8,6.443E6,0.000E0,2.647E6,,,,,,,,,108.41 ,53.42,16,37,,,,,,,,,6.64 ,6.03,2,2,,,,,,,,,137.95 ,44.38,15,48,,,,,,,,,122.90 ,46.30,14,39,6.27 ,8.49,3,3,,,,,4.06 ,7.12,2,2,365,40.0,7.56
Q9UNZ2,NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2 - [NSF1C_HUMAN],53.24,1,17,17,91,0.000E0,2.912E8,1.350E7,0.000E0,1.072E8,0.000E0,0.000E0,2.449E8,2.521E7,0.000E0,2.148E8,2.795E7,0.000E0,4.283E8,0.000E0,,,,,23.24 ,13.24,3,6,15.35 ,14.86,4,6,,,,,12.90 ,10.54,2,3,,,,,,,,,34.86 ,20.27,6,12,15.33 ,19.46,5,8,,,,,35.04 ,25.41,7,12,17.59 ,24.86,6,8,,,,,132.10 ,51.08,16,36,,,,,370,40.5,5.10
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4 - [VIME_HUMAN],52.79,6,22,24,44,0.000E0,5.449E7,0.000E0,0.000E0,1.304E7,4.687E6,0.000E0,5.345E7,0.000E0,0.000E0,3.045E7,3.159E6,9.863E5,1.693E8,1.181E6,,,,,4.31 ,5.58,3,3,,,,,,,,,6.57 ,6.01,3,4,2.62 ,2.15,1,1,,,,,14.40 ,9.23,5,6,,,,,,,,,8.50 ,3.86,2,3,2.62 ,2.15,1,1,0.00 ,2.15,1,1,71.55 ,45.06,20,24,0.00 ,1.93,1,1,466,53.6,5.12
P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]",51.37,12,25,28,278,4.728E7,3.815E7,2.576E8,1.719E8,1.035E8,2.571E7,9.905E7,1.717E8,1.605E8,5.662E8,1.362E8,1.681E8,1.091E8,5.002E8,1.692E7,21.28 ,11.30,4,5,9.79 ,5.48,3,4,177.46 ,36.47,17,56,76.70 ,32.36,12,17,25.08 ,14.38,6,7,7.83 ,5.14,3,3,35.36 ,13.01,5,8,55.79 ,22.09,11,19,153.52 ,27.40,15,48,65.37 ,28.42,10,14,40.03 ,16.44,9,14,120.95 ,27.74,15,38,31.20 ,11.64,7,10,124.78 ,43.32,24,34,3.29 ,1.54,1,1,584,58.8,5.21
P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3 - [K1C9_HUMAN]",50.72,2,21,22,263,1.559E7,9.934E7,1.295E8,1.403E8,1.080E8,3.913E7,4.645E7,1.293E8,1.381E8,2.012E8,8.493E7,1.311E8,7.362E7,2.829E8,0.000E0,5.46 ,2.25,1,2,33.37 ,12.04,5,11,122.13 ,40.45,15,40,44.31 ,14.93,5,11,25.65 ,20.39,6,7,16.03 ,9.79,4,6,14.05 ,10.59,4,4,68.51 ,25.20,10,18,121.70 ,40.45,15,54,37.53 ,12.04,5,12,44.67 ,13.16,6,12,118.01 ,35.31,14,47,51.48 ,20.87,8,12,81.51 ,48.80,20,27,,,,,623,62.0,5.24
P62805,Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2 - [H4_HUMAN],50.49,1,5,5,24,0.000E0,5.424E7,3.592E6,0.000E0,0.000E0,0.000E0,0.000E0,3.178E7,1.822E7,0.000E0,2.305E7,1.782E7,0.000E0,1.309E8,0.000E0,,,,,3.21 ,9.71,1,2,2.44 ,9.71,1,2,,,,,,,,,,,,,,,,,4.99 ,9.71,1,3,5.17 ,21.36,2,3,,,,,2.99 ,9.71,1,1,5.42 ,21.36,2,3,,,,,26.88 ,50.49,5,10,,,,,103,11.4,11.36
O00571,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3 - [DDX3X_HUMAN],48.64,3,28,29,136,0.000E0,5.719E7,3.946E7,5.449E6,2.203E7,4.125E7,3.359E5,6.821E7,6.156E7,5.446E6,7.156E7,5.934E7,3.656E6,9.172E7,0.000E0,,,,,15.67 ,8.31,5,5,50.95 ,21.00,13,23,3.18 ,1.66,1,1,6.92 ,3.78,2,2,6.08 ,5.14,3,3,1.72 ,1.66,1,1,27.27 ,12.08,8,11,61.04 ,24.32,16,24,5.01 ,3.78,2,2,25.40 ,8.01,5,9,56.71 ,21.75,14,22,2.71 ,1.66,1,1,87.03 ,46.37,27,32,,,,,662,73.2,7.18
Q14247,Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2 - [SRC8_HUMAN],48.36,1,24,24,280,0.000E0,1.517E8,2.011E8,2.464E6,1.384E6,7.340E7,0.000E0,1.133E8,2.490E8,2.209E6,9.622E7,3.339E8,1.799E6,2.540E8,2.858E7,,,,,20.69 ,10.18,4,5,145.17 ,37.82,17,51,1.68 ,1.27,1,1,1.86 ,2.55,2,3,16.22 ,14.91,6,7,,,,,38.52 ,18.18,8,14,188.50 ,41.45,20,79,0.00 ,1.27,1,1,40.36 ,15.82,8,14,192.20 ,42.18,20,70,3.58 ,3.64,2,2,99.60 ,43.82,20,32,3.60 ,2.36,1,1,550,61.5,5.40
O60814,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=HIST1H2BK PE=1 SV=3 - [H2B1K_HUMAN],47.62,10,2,7,26,0.000E0,5.142E5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.254E7,2.122E7,0.000E0,2.315E7,5.216E7,0.000E0,1.777E8,0.000E0,,,,,0.00 ,7.14,1,1,0.00 ,5.56,1,2,,,,,,,,,,,,,,,,,2.20 ,14.29,2,3,3.52 ,12.70,2,8,,,,,2.33 ,8.73,1,1,3.85 ,24.60,3,4,,,,,12.50 ,38.89,6,7,,,,,126,13.9,10.32
P06899,Histone H2B type 1-J OS=Homo sapiens OX=9606 GN=HIST1H2BJ PE=1 SV=3 - [H2B1J_HUMAN],46.83,8,1,6,23,0.000E0,5.142E5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.254E7,2.266E6,0.000E0,2.315E7,6.593E7,0.000E0,1.563E8,0.000E0,,,,,0.00 ,7.14,1,1,0.00 ,5.56,1,2,,,,,,,,,,,,,,,,,2.20 ,14.29,2,3,1.61 ,5.56,1,7,,,,,2.33 ,8.73,1,1,1.78 ,17.46,2,3,,,,,10.50 ,38.10,5,6,,,,,126,13.9,10.32
Q9Y230,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3 - [RUVB2_HUMAN],46.65,1,20,20,50,0.000E0,4.339E7,5.391E6,0.000E0,1.292E7,3.020E6,0.000E0,5.679E7,5.509E6,0.000E0,5.484E7,5.199E6,0.000E0,1.754E8,0.000E0,,,,,5.12 ,3.67,2,3,6.40 ,7.34,3,4,,,,,3.47 ,2.16,1,1,1.80 ,2.16,1,1,,,,,17.48 ,11.02,5,6,5.25 ,7.13,3,3,,,,,12.79 ,7.13,3,4,5.17 ,7.13,3,3,,,,,78.42 ,45.14,19,25,,,,,463,51.1,5.64
Q16594,Transcription initiation factor TFIID subunit 9 OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=1 - [TAF9_HUMAN],46.21,1,5,10,28,0.000E0,5.623E7,0.000E0,0.000E0,7.102E6,0.000E0,0.000E0,3.084E7,0.000E0,0.000E0,3.013E7,0.000E0,0.000E0,9.168E7,0.000E0,,,,,9.28 ,7.58,2,4,,,,,,,,,2.57 ,3.41,1,1,,,,,,,,,14.52 ,7.58,2,5,,,,,,,,,13.31 ,7.58,2,6,,,,,,,,,33.10 ,46.21,10,12,,,,,264,29.0,8.66
Q15233,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4 - [NONO_HUMAN],46.07,1,15,17,38,0.000E0,7.578E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,6.271E7,0.000E0,0.000E0,3.676E7,0.000E0,0.000E0,2.411E8,0.000E0,,,,,3.42 ,2.97,2,2,,,,,,,,,,,,,,,,,,,,,11.32 ,9.34,5,6,,,,,,,,,11.39 ,7.86,4,5,,,,,,,,,75.32 ,44.59,16,25,,,,,471,54.2,8.95
P16949,Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3 - [STMN1_HUMAN],45.64,2,6,6,41,0.000E0,6.743E7,6.694E7,0.000E0,2.417E6,4.693E7,0.000E0,4.549E7,5.459E7,0.000E0,5.152E7,8.103E7,0.000E0,1.009E8,1.284E7,,,,,6.87 ,14.77,2,2,14.69 ,12.75,2,6,,,,,2.60 ,6.71,1,1,7.37 ,14.77,2,2,,,,,10.01 ,14.77,2,3,19.31 ,20.81,3,7,,,,,5.34 ,6.71,1,2,28.15 ,29.53,4,10,,,,,21.27 ,45.64,6,7,3.55 ,8.05,1,1,149,17.3,5.97
Q9C0C2,182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4 - [TB182_HUMAN],44.65,1,51,51,232,0.000E0,2.714E7,4.233E7,0.000E0,2.741E6,2.307E7,1.466E6,1.834E7,4.219E7,1.939E6,2.062E7,4.134E7,1.053E6,7.483E7,0.000E0,,,,,20.59 ,5.26,7,7,111.41 ,27.70,33,50,,,,,5.69 ,1.74,3,3,16.23 ,2.78,5,5,2.77 ,0.64,1,1,38.49 ,9.49,13,14,120.11 ,27.82,31,48,5.12 ,1.16,2,2,38.35 ,9.02,12,12,115.36 ,29.32,33,47,2.79 ,0.64,1,1,97.84 ,30.60,38,42,,,,,1729,181.7,4.86
P35998,26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3 - [PRS7_HUMAN],44.57,1,17,17,64,0.000E0,2.742E7,3.278E7,0.000E0,1.057E7,3.466E7,0.000E0,2.345E7,2.647E7,1.629E6,3.494E7,2.969E7,0.000E0,5.910E7,0.000E0,,,,,9.43 ,6.93,3,3,27.75 ,17.55,8,13,,,,,2.40 ,2.31,1,1,5.59 ,2.31,1,2,,,,,14.85 ,8.78,4,5,22.28 ,14.32,6,9,2.16 ,2.31,1,1,15.97 ,10.16,4,5,20.95 ,13.63,6,10,,,,,31.61 ,40.88,15,15,,,,,433,48.6,5.95
Q8WYP5,Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3 - [ELYS_HUMAN],44.48,1,75,75,216,0.000E0,1.043E8,8.593E6,5.095E5,5.800E7,5.240E6,0.000E0,1.318E8,7.144E6,0.000E0,1.739E8,9.050E6,0.000E0,3.073E8,1.023E6,,,,,46.83 ,6.58,12,14,10.82 ,4.19,6,8,1.79 ,0.49,1,1,26.12 ,4.32,7,8,9.79 ,2.03,3,3,,,,,92.44 ,8.43,16,28,9.66 ,2.78,5,5,,,,,89.28 ,8.69,17,28,11.95 ,3.40,6,7,,,,,369.30 ,43.38,71,112,3.65 ,1.06,2,2,2266,252.3,6.60
P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3 - [MAP4_HUMAN],44.01,1,34,34,83,0.000E0,6.337E7,8.508E6,0.000E0,1.821E7,2.179E6,0.000E0,6.889E7,5.361E6,0.000E0,7.582E7,5.487E6,0.000E0,1.760E8,2.964E6,,,,,19.55 ,5.12,5,7,1.73 ,2.00,2,2,,,,,9.01 ,2.00,2,3,4.94 ,3.82,4,4,,,,,44.73 ,11.37,11,18,1.61 ,1.22,1,1,,,,,32.39 ,7.55,7,11,1.72 ,1.22,1,1,,,,,101.64 ,41.32,30,35,2.36 ,1.22,1,1,1152,120.9,5.43
Q99439,Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4 - [CNN2_HUMAN],43.69,2,8,9,16,0.000E0,1.538E7,1.433E7,0.000E0,0.000E0,0.000E0,0.000E0,1.471E7,0.000E0,0.000E0,2.640E7,2.953E7,0.000E0,9.522E6,5.087E7,,,,,1.90 ,2.59,1,1,6.57 ,22.33,4,4,,,,,,,,,,,,,,,,,5.30 ,16.18,2,2,,,,,,,,,2.64 ,11.97,1,1,11.20 ,23.62,4,4,,,,,7.76 ,13.27,3,3,3.68 ,11.97,1,1,309,33.7,7.33
P42167,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2 - [LAP2B_HUMAN]",43.61,1,6,12,52,0.000E0,6.024E7,5.047E7,0.000E0,0.000E0,1.008E7,0.000E0,4.094E7,5.307E7,4.413E6,2.645E7,8.689E7,0.000E0,1.566E8,0.000E0,,,,,6.11 ,5.29,2,2,19.11 ,22.91,5,6,,,,,2.49 ,3.52,1,1,3.88 ,1.76,1,2,,,,,10.17 ,11.45,4,4,17.39 ,18.50,5,7,1.77 ,1.76,1,1,9.47 ,8.81,3,3,36.64 ,25.99,8,14,,,,,45.70 ,39.87,10,12,,,,,454,50.6,9.38
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1 - [E41L2_HUMAN],43.48,2,33,36,315,2.801E6,0.000E0,3.692E8,3.520E6,0.000E0,1.367E8,1.054E7,3.752E6,3.733E8,6.350E6,7.062E6,3.522E8,9.522E6,1.671E7,3.031E7,4.53 ,1.79,2,2,,,,,227.67 ,40.90,32,88,6.87 ,3.78,2,2,,,,,67.13 ,20.60,16,24,2.50 ,0.80,1,1,8.74 ,5.17,5,5,215.04 ,30.15,28,91,2.57 ,2.09,2,2,6.21 ,3.58,3,3,168.00 ,29.35,27,78,11.99 ,4.68,4,4,13.30 ,10.75,8,8,19.21 ,4.08,4,7,1005,112.5,5.44
P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1 - [EF1A1_HUMAN],43.29,3,14,14,64,0.000E0,9.313E7,8.327E7,0.000E0,0.000E0,1.469E7,0.000E0,2.035E7,1.044E8,1.772E7,1.265E7,1.187E8,0.000E0,1.399E8,0.000E0,,,,,0.00 ,5.19,1,1,35.84 ,23.16,8,13,,,,,,,,,6.82 ,8.01,3,3,,,,,3.56 ,6.06,3,3,32.20 ,20.35,6,13,2.07 ,1.30,1,1,4.59 ,4.33,2,2,30.57 ,24.03,8,12,,,,,48.85 ,36.80,10,16,,,,,462,50.1,9.01
P41440,Folate transporter 1 OS=Homo sapiens OX=9606 GN=SLC19A1 PE=1 SV=3 - [S19A1_HUMAN],42.13,1,18,18,264,0.000E0,0.000E0,3.267E9,3.083E6,0.000E0,1.099E9,6.229E5,0.000E0,2.994E9,3.419E6,0.000E0,2.256E9,1.147E6,0.000E0,1.544E8,,,,,,,,,196.31 ,28.60,13,65,2.55 ,1.69,1,1,,,,,40.43 ,7.45,4,16,1.82 ,1.86,1,1,,,,,258.47 ,29.10,13,99,3.17 ,1.69,1,1,,,,,175.22 ,27.07,12,66,2.24 ,1.69,1,1,,,,,44.55 ,29.10,7,14,591,64.8,8.95
P42166,"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2 - [LAP2A_HUMAN]",41.79,1,12,18,47,0.000E0,9.241E7,5.047E7,0.000E0,0.000E0,0.000E0,0.000E0,3.973E7,4.780E7,0.000E0,4.391E7,8.689E7,0.000E0,1.473E8,0.000E0,,,,,3.87 ,2.31,1,1,10.44 ,8.36,3,4,,,,,2.49 ,2.31,1,1,,,,,,,,,8.16 ,7.49,4,4,11.64 ,8.36,3,5,,,,,7.42 ,4.61,2,2,27.26 ,11.96,5,10,,,,,60.40 ,40.63,17,20,,,,,694,75.4,7.66
