Visible?,Starred?,Identified Proteins (2330),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,T-Test (p-value): (p < 0.05),Fold Change by Category,Quantitative Profile,Taxonomy,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area
TRUE,Empty,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,P14618,PKM,58 kDa,,0.0013,1.4,"1st low, 2nd high",unknown,4.77E+10,4.65E+10,3.95E+10,5.08E+10,6.19E+10,7.06E+10,6.48E+10,6.92E+10,7.65E+10,6.67E+10,8.28E+10,5.02E+10,7.83E+10,7.27E+10,6.24E+10
TRUE,Empty,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,P13639,EEF2,95 kDa,TRUE,0.014,0.8,"1st high, 2nd low",unknown,5.79E+10,6.43E+10,6.12E+10,6.59E+10,7.47E+10,4.83E+10,5.09E+10,5.39E+10,6.23E+10,4.99E+10,8.60E+10,6.41E+10,8.48E+10,9.22E+10,1.01E+11
TRUE,Empty,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,P68371,TUBB4B,50 kDa,TRUE,0.0022,1.7,"1st low, 2nd high",unknown,3.04E+10,2.48E+10,3.17E+10,3.00E+10,4.77E+10,5.92E+10,4.38E+10,5.43E+10,6.08E+10,5.48E+10,6.28E+10,3.24E+10,6.44E+10,6.83E+10,6.91E+10
TRUE,Empty,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,Q6P2Q9,PRPF8,274 kDa,TRUE,0.34,1.2,[],unknown,1.35E+10,1.77E+10,1.45E+10,8.72E+09,1.94E+10,2.52E+10,1.23E+10,1.36E+10,2.52E+10,1.48E+10,1.22E+10,1.66E+10,2.75E+10,2.63E+10,1.58E+10
TRUE,Empty,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,P68104,EEF1A1,50 kDa,,0.0022,1.7,"1st low, 2nd high",unknown,4.16E+10,4.69E+10,5.56E+10,7.24E+10,7.71E+10,9.11E+10,9.04E+10,8.74E+10,1.16E+11,1.11E+11,8.05E+10,5.44E+10,7.19E+10,8.60E+10,8.24E+10
TRUE,Empty,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,Q9BQE3,TUBA1C,50 kDa,TRUE,0.048,1.3,"1st low, 2nd high",unknown,5.24E+10,5.68E+10,6.41E+10,4.56E+10,7.25E+10,7.95E+10,5.84E+10,7.86E+10,8.16E+10,6.80E+10,9.01E+10,6.63E+10,8.52E+10,7.57E+10,7.80E+10
TRUE,Empty,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,Q14204,DYNC1H1,532 kDa,,0.019,3.6,"1st low, 2nd high",unknown,1.94E+09,3.18E+09,2.68E+09,1.71E+09,5.90E+09,7.95E+09,5.61E+09,7.81E+09,1.98E+10,1.44E+10,1.31E+10,7.16E+09,1.67E+10,1.36E+10,9.97E+09
TRUE,Empty,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,P11142,HSPA8,71 kDa,TRUE,0.00041,1.4,"1st low, 2nd high",unknown,3.82E+10,4.02E+10,4.11E+10,3.41E+10,4.65E+10,5.10E+10,5.50E+10,6.20E+10,5.63E+10,5.42E+10,5.76E+10,4.73E+10,5.69E+10,5.68E+10,6.74E+10
TRUE,Empty,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,P07900,HSP90AA1,85 kDa,TRUE,0.00067,1.5,"1st low, 2nd high",unknown,4.53E+10,4.85E+10,5.38E+10,3.59E+10,5.50E+10,6.73E+10,7.84E+10,8.09E+10,6.44E+10,7.29E+10,5.52E+10,4.56E+10,4.91E+10,5.22E+10,5.99E+10
TRUE,Empty,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,P68366,TUBA4A,50 kDa,TRUE,0.053,1.3,[],unknown,3.83E+10,4.00E+10,4.74E+10,3.20E+10,5.45E+10,6.15E+10,4.20E+10,5.73E+10,6.28E+10,5.06E+10,6.85E+10,4.79E+10,6.64E+10,5.89E+10,6.05E+10
TRUE,Empty,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,Q15149,PLEC,532 kDa,TRUE,0.0032,2.7,"1st low, 2nd high",unknown,2.49E+09,3.28E+09,3.17E+09,2.70E+09,4.84E+09,7.24E+09,5.90E+09,7.55E+09,1.22E+10,1.19E+10,8.56E+09,4.77E+09,7.67E+09,7.35E+09,7.83E+09
TRUE,Empty,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,P21333,FLNA,281 kDa,TRUE,0.0017,0.5,"1st high, 2nd low",unknown,9.72E+09,1.04E+10,1.30E+10,6.02E+09,1.13E+10,4.87E+09,3.52E+09,4.90E+09,5.30E+09,4.39E+09,1.94E+10,2.72E+10,2.16E+10,2.57E+10,2.44E+10
TRUE,Empty,Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3,Q13428,TCOF1,152 kDa,,0.014,1.4,"1st low, 2nd high",unknown,8.37E+10,5.32E+10,6.82E+10,7.10E+10,5.03E+10,9.14E+10,1.07E+11,1.12E+11,7.30E+10,8.84E+10,7.92E+10,9.14E+10,7.39E+10,6.72E+10,9.75E+10
TRUE,Empty,Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4,P18583,SON,264 kDa,,< 0.00010,5.3,"1st low, 2nd high",unknown,7.83E+09,7.03E+09,8.50E+09,7.21E+09,1.16E+10,4.36E+10,4.35E+10,4.93E+10,4.16E+10,4.73E+10,2.30E+10,3.19E+10,2.97E+10,2.27E+10,3.07E+10
TRUE,Empty,Cell growth-regulating nucleolar protein OS=Homo sapiens OX=9606 GN=LYAR PE=1 SV=2,Q9NX58,LYAR,44 kDa,TRUE,0.0038,1.4,"1st low, 2nd high",unknown,8.11E+10,7.54E+10,6.95E+10,6.51E+10,5.47E+10,9.89E+10,1.06E+11,1.15E+11,8.43E+10,8.77E+10,9.42E+10,9.00E+10,7.73E+10,8.08E+10,8.17E+10
TRUE,Empty,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,P62979,RPS27A,18 kDa,,0.11,1.3,[],unknown,7.22E+10,4.22E+10,6.29E+10,5.91E+10,5.69E+10,1.10E+11,5.77E+10,8.33E+10,7.90E+10,5.90E+10,7.98E+10,8.77E+10,6.97E+10,9.18E+10,5.77E+10
TRUE,Empty,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,P04406,GAPDH,36 kDa,TRUE,0.00015,1.8,"1st low, 2nd high",unknown,2.62E+10,3.84E+10,3.43E+10,2.99E+10,4.77E+10,6.70E+10,5.74E+10,7.00E+10,6.52E+10,6.18E+10,6.24E+10,4.08E+10,6.08E+10,5.95E+10,6.01E+10
TRUE,Empty,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,O00567,NOP56,66 kDa,,0.024,1.6,"1st low, 2nd high",unknown,4.08E+10,2.26E+10,3.58E+10,2.20E+10,3.81E+10,6.36E+10,4.71E+10,6.60E+10,4.04E+10,3.89E+10,5.22E+10,4.06E+10,4.23E+10,3.63E+10,3.99E+10
TRUE,Empty,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,P35579,MYH9,227 kDa,TRUE,0.016,2,"1st low, 2nd high",unknown,3.10E+09,5.95E+09,4.71E+09,2.00E+09,7.13E+09,9.40E+09,6.42E+09,7.19E+09,1.34E+10,9.96E+09,1.11E+10,9.13E+09,1.08E+10,1.02E+10,8.20E+09
TRUE,Empty,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,Q08211,DHX9,141 kDa,,0.0099,1.7,"1st low, 2nd high",unknown,1.05E+10,1.21E+10,1.26E+10,1.08E+10,1.89E+10,2.53E+10,1.48E+10,2.04E+10,2.72E+10,2.15E+10,2.00E+10,1.89E+10,3.13E+10,2.81E+10,2.21E+10
TRUE,Empty,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,P06733,ENO1,47 kDa,,0.0028,1.5,"1st low, 2nd high",unknown,2.10E+10,1.95E+10,1.90E+10,1.54E+10,2.38E+10,3.01E+10,2.91E+10,3.08E+10,3.14E+10,2.25E+10,2.59E+10,1.64E+10,2.87E+10,2.23E+10,3.46E+10
TRUE,Empty,"Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",P68133,ACTA1,42 kDa,TRUE,< 0.00010,1.5,"1st low, 2nd high",unknown,6.89E+10,8.88E+10,7.10E+10,8.09E+10,8.55E+10,1.22E+11,1.22E+11,1.16E+11,1.17E+11,1.16E+11,9.78E+10,1.05E+11,1.01E+11,1.06E+11,1.35E+11
TRUE,Empty,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,P00338,LDHA,37 kDa,TRUE,0.97,1,[],unknown,4.65E+10,4.50E+10,4.92E+10,4.63E+10,5.51E+10,4.50E+10,4.81E+10,5.22E+10,5.67E+10,4.07E+10,7.55E+10,5.71E+10,6.13E+10,7.09E+10,8.39E+10
TRUE,Empty,Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4,O60841,EIF5B,139 kDa,,0.52,1.1,[],unknown,2.14E+10,8.33E+09,2.30E+10,1.82E+10,1.80E+10,2.59E+10,1.45E+10,2.88E+10,1.70E+10,1.57E+10,1.65E+10,1.42E+10,2.09E+10,1.43E+10,1.13E+10
TRUE,Empty,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,P11388,TOP2A,174 kDa,TRUE,0.0074,1.8,"1st low, 2nd high",unknown,4.25E+09,4.74E+09,5.18E+09,5.27E+09,8.40E+09,9.18E+09,6.89E+09,1.13E+10,1.35E+10,1.04E+10,1.09E+10,7.89E+09,1.36E+10,1.32E+10,1.20E+10
TRUE,Empty,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,P08670,VIM,54 kDa,TRUE,0.017,0.8,"1st high, 2nd low",unknown,3.27E+10,3.33E+10,3.41E+10,3.03E+10,2.89E+10,2.66E+10,3.00E+10,2.97E+10,2.48E+10,2.25E+10,5.01E+10,5.07E+10,3.87E+10,4.29E+10,4.83E+10
TRUE,Empty,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,P11387,TOP1,91 kDa,,0.0068,2.2,"1st low, 2nd high",unknown,1.79E+10,5.07E+09,1.40E+10,1.22E+10,1.20E+10,3.45E+10,2.19E+10,3.60E+10,2.13E+10,2.03E+10,3.08E+10,1.83E+10,1.87E+10,2.14E+10,1.43E+10
TRUE,Empty,Lysine-rich nucleolar protein 1 OS=Homo sapiens OX=9606 GN=KNOP1 PE=1 SV=1,Q1ED39,KNOP1,52 kDa,,0.026,0.7,"1st high, 2nd low",unknown,2.42E+10,3.56E+10,3.79E+10,3.68E+10,3.01E+10,2.93E+10,2.73E+10,2.40E+10,2.07E+10,1.69E+10,2.51E+10,4.49E+10,2.32E+10,3.08E+10,2.54E+10
TRUE,Empty,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,Q00610,CLTC,192 kDa,TRUE,0.035,1.9,"1st low, 2nd high",unknown,3.61E+09,6.81E+09,4.52E+09,2.25E+09,9.96E+09,1.01E+10,6.97E+09,7.88E+09,1.50E+10,1.29E+10,1.18E+10,5.58E+09,9.44E+09,1.03E+10,1.10E+10
TRUE,Empty,AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,O14617,AP3D1,130 kDa,,0.05,0.7,[],unknown,2.17E+10,1.90E+10,2.05E+10,9.12E+09,1.72E+10,1.35E+10,1.05E+10,1.42E+10,1.09E+10,1.14E+10,1.74E+10,1.68E+10,1.82E+10,1.79E+10,1.56E+10
TRUE,Empty,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,P11021,HSPA5,72 kDa,TRUE,0.013,1.3,"1st low, 2nd high",unknown,1.45E+10,1.72E+10,1.84E+10,1.55E+10,2.07E+10,2.26E+10,1.95E+10,2.83E+10,2.23E+10,2.21E+10,2.71E+10,2.27E+10,2.41E+10,2.28E+10,2.54E+10
TRUE,Empty,Histone H1t OS=Homo sapiens OX=9606 GN=HIST1H1T PE=2 SV=4,P22492,HIST1H1T,22 kDa,TRUE,0.0044,0,"1st high, 2nd low",unknown,4.75E+11,5.67E+11,4.81E+11,5.80E+11,0,0,0,0,0,0,3.10E+11,0,2.55E+11,2.59E+11,3.63E+11
TRUE,Empty,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,P60842,EIF4A1,46 kDa,TRUE,0.032,1.3,"1st low, 2nd high",unknown,2.15E+10,1.97E+10,2.41E+10,1.78E+10,2.37E+10,3.12E+10,2.41E+10,2.70E+10,3.02E+10,2.20E+10,3.53E+10,2.47E+10,3.29E+10,3.12E+10,3.23E+10
TRUE,Empty,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1,Q9NZM1,MYOF,235 kDa,,0.51,1.2,[],unknown,4.83E+09,4.88E+09,5.20E+09,2.04E+09,4.77E+09,8.53E+09,4.33E+09,2.84E+09,5.99E+09,3.94E+09,2.37E+09,5.94E+09,6.51E+09,6.78E+09,2.57E+09
TRUE,Empty,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,Q9NR30,DDX21,87 kDa,TRUE,0.7,1,[],unknown,1.60E+10,1.85E+10,1.83E+10,1.45E+10,1.76E+10,1.74E+10,1.30E+10,1.50E+10,2.14E+10,1.48E+10,1.57E+10,1.80E+10,1.95E+10,1.67E+10,1.61E+10
TRUE,Empty,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,P53396,ACLY,121 kDa,TRUE,0.051,1.8,[],unknown,3.56E+09,5.40E+09,5.43E+09,3.53E+09,8.20E+09,8.40E+09,5.06E+09,7.66E+09,1.46E+10,1.20E+10,1.17E+10,7.66E+09,1.45E+10,1.27E+10,9.13E+09
TRUE,Empty,40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1,P62861,FAU,7 kDa,,0.25,1.1,[],unknown,2.33E+11,2.21E+11,2.58E+11,1.97E+11,2.14E+11,2.77E+11,3.04E+11,2.54E+11,2.22E+11,1.98E+11,2.62E+11,3.98E+11,2.06E+11,2.21E+11,2.33E+11
TRUE,Empty,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,P39023,RPL3,46 kDa,TRUE,0.41,1.1,[],unknown,1.96E+10,1.80E+10,1.68E+10,1.70E+10,2.08E+10,2.48E+10,1.63E+10,1.83E+10,2.72E+10,1.61E+10,1.75E+10,2.21E+10,3.33E+10,3.67E+10,2.22E+10
TRUE,Empty,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,O75643,SNRNP200,245 kDa,,0.035,1.7,"1st low, 2nd high",unknown,2.01E+09,3.24E+09,3.19E+09,1.63E+09,5.13E+09,4.70E+09,3.55E+09,4.80E+09,7.31E+09,6.23E+09,8.29E+09,4.98E+09,8.58E+09,7.94E+09,7.49E+09
TRUE,Empty,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",P10809,HSPD1,61 kDa,,< 0.00010,2.1,"1st low, 2nd high",unknown,8.18E+09,1.09E+10,1.17E+10,9.11E+09,1.18E+10,1.87E+10,1.83E+10,2.40E+10,2.29E+10,2.48E+10,1.49E+10,1.11E+10,1.99E+10,1.54E+10,2.46E+10
TRUE,Orange,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2",P11498,PC,130 kDa,,0.83,1.1,[],unknown,9.91E+09,8.33E+09,6.41E+09,1.85E+09,8.91E+09,1.30E+10,5.40E+09,7.68E+09,5.47E+09,6.08E+09,2.12E+10,1.78E+10,1.22E+10,5.70E+09,9.40E+09
TRUE,Empty,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,P09651,HNRNPA1,39 kDa,TRUE,0.075,1.6,[],unknown,5.65E+09,8.67E+09,9.14E+09,8.46E+09,1.35E+10,1.29E+10,8.85E+09,1.43E+10,2.27E+10,1.32E+10,2.08E+10,1.37E+10,2.80E+10,3.12E+10,2.33E+10
TRUE,Empty,Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3,Q14697,GANAB,107 kDa,,0.62,0.9,[],unknown,6.57E+09,7.55E+09,7.25E+09,4.54E+09,9.00E+09,8.02E+09,5.89E+09,5.70E+09,7.02E+09,6.08E+09,7.95E+09,1.02E+10,1.17E+10,1.30E+10,1.00E+10
TRUE,Empty,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,P05141,SLC25A5,33 kDa,TRUE,0.016,1.5,"1st low, 2nd high",unknown,2.11E+10,2.31E+10,2.74E+10,1.98E+10,2.61E+10,2.99E+10,2.68E+10,3.20E+10,4.49E+10,4.32E+10,3.13E+10,3.06E+10,5.26E+10,4.56E+10,4.91E+10
TRUE,Empty,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,O00571,DDX3X,73 kDa,TRUE,0.00077,1.8,"1st low, 2nd high",unknown,4.42E+09,6.29E+09,6.62E+09,4.82E+09,7.47E+09,1.06E+10,8.69E+09,9.65E+09,1.25E+10,1.05E+10,1.30E+10,1.06E+10,1.30E+10,1.29E+10,1.50E+10
TRUE,Empty,60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,Q02878,RPL6,33 kDa,,0.15,0.8,[],unknown,4.11E+10,3.69E+10,3.77E+10,3.69E+10,2.46E+10,3.47E+10,2.85E+10,2.52E+10,3.53E+10,2.43E+10,3.00E+10,3.57E+10,4.43E+10,4.06E+10,3.75E+10
TRUE,Empty,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,P63244,RACK1,35 kDa,,0.073,1.2,[],unknown,1.53E+10,1.69E+10,1.86E+10,1.17E+10,1.86E+10,1.94E+10,1.85E+10,1.83E+10,2.34E+10,1.81E+10,1.61E+10,1.90E+10,2.71E+10,2.52E+10,2.53E+10
TRUE,Empty,60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,P62750,RPL23A,18 kDa,,0.61,1.2,[],unknown,7.76E+10,2.47E+10,2.70E+10,1.18E+11,3.44E+10,1.42E+11,6.07E+10,5.60E+10,4.16E+10,4.98E+10,1.25E+11,5.99E+10,3.49E+10,5.29E+10,5.05E+10
TRUE,Empty,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,P26641,EEF1G,50 kDa,,0.47,1.1,[],unknown,1.28E+10,1.49E+10,1.50E+10,9.60E+09,1.69E+10,1.72E+10,1.20E+10,1.59E+10,1.68E+10,1.33E+10,1.72E+10,1.49E+10,1.85E+10,1.89E+10,1.59E+10
TRUE,Empty,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,P22626,HNRNPA2B1,37 kDa,,0.0031,1.8,"1st low, 2nd high",unknown,1.07E+10,1.21E+10,1.45E+10,1.10E+10,1.57E+10,1.81E+10,1.94E+10,2.24E+10,3.09E+10,2.54E+10,2.98E+10,2.08E+10,2.71E+10,3.01E+10,3.25E+10
TRUE,Empty,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,P15924,DSP,332 kDa,,0.0062,2.1,"1st low, 2nd high",unknown,2.10E+09,2.55E+09,2.00E+09,1.09E+09,2.21E+09,3.39E+09,2.58E+09,4.05E+09,5.05E+09,5.36E+09,2.34E+09,1.96E+09,2.07E+09,2.29E+09,1.81E+09
TRUE,Empty,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",P38646,HSPA9,74 kDa,TRUE,0.0027,1.5,"1st low, 2nd high",unknown,4.97E+09,6.45E+09,7.05E+09,6.17E+09,8.44E+09,8.45E+09,9.18E+09,1.11E+10,9.66E+09,1.00E+10,9.61E+09,8.52E+09,1.06E+10,9.60E+09,1.10E+10
TRUE,Empty,H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3,O60832,DKC1,58 kDa,,0.56,1.1,[],unknown,1.34E+10,8.17E+09,8.45E+09,8.78E+09,8.73E+09,1.44E+10,8.25E+09,8.74E+09,1.01E+10,1.05E+10,1.32E+10,1.15E+10,1.32E+10,1.48E+10,2.02E+10
TRUE,Empty,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=HIST1H2BK PE=1 SV=3,O60814 (+8),HIST1H2BK,14 kDa,TRUE,0.0098,1.9,"1st low, 2nd high",unknown,1.42E+10,8.29E+09,1.30E+10,1.43E+10,2.53E+10,3.29E+10,1.86E+10,2.59E+10,3.30E+10,3.03E+10,4.34E+10,1.54E+10,3.64E+10,3.60E+10,3.94E+10
TRUE,Empty,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,P62937,PPIA,18 kDa,TRUE,0.0013,1.8,"1st low, 2nd high",unknown,1.50E+10,2.12E+10,1.62E+10,1.08E+10,2.49E+10,3.24E+10,2.69E+10,3.43E+10,2.91E+10,3.28E+10,3.75E+10,2.58E+10,3.44E+10,2.84E+10,3.38E+10
TRUE,Empty,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,Q00839,HNRNPU,91 kDa,TRUE,0.41,1.2,[],unknown,1.39E+10,1.49E+10,1.55E+10,5.53E+09,1.15E+10,1.58E+10,9.68E+09,1.37E+10,1.86E+10,1.35E+10,1.31E+10,1.49E+10,1.64E+10,1.64E+10,2.18E+10
TRUE,Empty,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,Q9H0A0,NAT10,116 kDa,,0.78,1,[],unknown,6.42E+09,6.00E+09,6.26E+09,4.10E+09,7.34E+09,8.01E+09,5.37E+09,6.18E+09,6.87E+09,4.83E+09,7.67E+09,7.77E+09,9.73E+09,9.29E+09,8.10E+09
