Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area,Score A10,Coverage A10,# Peptides A10,# PSM A10,Score B10,Coverage B10,# Peptides B10,# PSM B10,Score C10,Coverage C10,# Peptides C10,# PSM C10,Score D10,Coverage D10,# Peptides D10,# PSM D10,Score E10,Coverage E10,# Peptides E10,# PSM E10,Score F10,Coverage F10,# Peptides F10,# PSM F10,Score G10,Coverage G10,# Peptides G10,# PSM G10,Score H10,Coverage H10,# Peptides H10,# PSM H10,Score I10,Coverage I10,# Peptides I10,# PSM I10,Score J10,Coverage J10,# Peptides J10,# PSM J10,Score K10,Coverage K10,# Peptides K10,# PSM K10,Score L10,Coverage L10,# Peptides L10,# PSM L10,Score M10,Coverage M10,# Peptides M10,# PSM M10,Score N10,Coverage N10,# Peptides N10,# PSM N10,Score O10,Coverage O10,# Peptides O10,# PSM O10,# AAs,MW [kDa],calc. pI
P60174,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3 - [TPIS_HUMAN],71.33,1,16,16,162,4.042E6,2.073E7,1.186E7,1.880E7,1.175E7,2.313E7,2.270E7,1.737E7,7.392E6,7.968E6,1.127E8,1.811E7,8.352E6,2.001E7,1.055E7,20.44 ,19.23,4,5,51.02 ,47.90,9,14,27.06 ,20.98,4,6,29.32 ,23.78,5,8,45.20 ,29.02,6,12,45.20 ,29.02,6,12,49.50 ,39.16,7,12,51.31 ,43.71,8,14,22.80 ,17.48,4,6,23.29 ,29.02,6,6,116.87 ,68.88,15,29,27.03 ,34.62,6,7,29.21 ,29.02,6,8,51.17 ,41.61,8,14,32.47 ,31.47,7,9,286,30.8,5.92
P37802,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3 - [TAGL2_HUMAN],70.85,2,12,12,116,4.251E6,1.047E7,1.447E7,9.363E6,7.412E6,1.265E7,1.003E7,1.053E7,8.582E6,5.028E6,6.159E7,1.390E7,4.447E6,8.400E6,9.934E6,3.84 ,5.53,1,1,36.63 ,55.28,8,10,29.10 ,38.19,6,7,6.37 ,10.05,2,2,30.33 ,38.19,6,9,29.56 ,44.22,7,9,21.18 ,24.12,4,6,34.99 ,49.25,7,9,25.12 ,25.13,4,7,18.85 ,28.64,4,5,73.83 ,66.33,11,18,43.52 ,42.71,7,13,10.71 ,17.09,3,3,35.62 ,49.25,7,9,29.94 ,37.19,6,8,199,22.4,8.25
P63244,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3 - [RACK1_HUMAN],69.72,1,17,17,401,2.796E7,2.663E7,5.987E7,3.783E7,2.156E7,4.088E7,4.142E7,3.001E7,3.874E7,5.234E7,5.343E7,7.799E7,4.194E7,4.662E7,4.024E7,49.76 ,43.22,11,13,85.99 ,59.94,14,23,166.77 ,67.82,16,45,53.15 ,37.54,11,16,93.96 ,57.73,14,27,74.97 ,43.85,12,21,97.00 ,52.37,13,27,77.32 ,46.69,11,22,92.41 ,46.69,11,26,125.72 ,56.15,14,34,144.68 ,67.51,16,37,133.62 ,54.89,13,36,83.77 ,46.37,12,22,114.50 ,52.37,13,32,67.40 ,37.22,10,20,317,35.1,7.69
P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6 - [K2C1_HUMAN]",69.57,2,34,43,2776,5.935E8,2.948E8,1.381E8,1.765E9,8.788E8,2.442E9,4.686E8,3.465E8,3.425E8,2.840E8,4.844E8,5.252E8,5.463E8,2.765E8,4.808E8,598.43 ,61.02,34,159,701.48 ,58.39,36,179,544.62 ,48.76,25,138,521.01 ,52.80,34,143,1030.39 ,56.06,37,273,1228.17 ,57.92,39,335,682.28 ,55.75,36,174,611.81 ,51.86,34,164,656.94 ,47.67,29,167,668.94 ,51.09,32,164,632.90 ,51.40,30,155,745.90 ,51.09,33,193,625.57 ,51.09,32,157,818.05 ,48.91,31,212,632.12 ,51.09,34,163,644,66.0,8.12
P05387,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1 - [RLA2_HUMAN],69.57,1,5,5,98,6.963E6,2.632E7,4.005E7,4.209E6,2.046E7,4.426E7,2.554E7,3.246E7,1.652E7,2.185E7,1.333E8,1.939E7,2.567E7,2.948E7,2.268E7,21.61 ,28.70,1,4,53.54 ,69.57,5,10,39.60 ,50.43,3,8,31.49 ,28.70,1,5,32.70 ,55.65,3,6,19.98 ,28.70,1,3,36.25 ,45.22,2,6,52.75 ,55.65,3,9,27.45 ,45.22,2,5,20.11 ,28.70,1,3,86.66 ,69.57,5,18,35.07 ,56.52,3,7,23.88 ,28.70,1,4,35.94 ,55.65,3,6,25.76 ,45.22,2,4,115,11.7,4.54
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4 - [VIME_HUMAN],69.31,4,27,33,611,2.167E7,3.318E7,7.700E7,4.291E7,1.704E7,4.764E7,3.651E7,2.635E7,4.987E7,2.767E7,8.284E7,7.329E7,3.268E7,6.511E7,4.974E7,68.71 ,30.04,13,20,111.18 ,54.08,22,34,298.99 ,53.86,26,83,59.95 ,25.75,13,18,116.58 ,39.27,16,33,141.25 ,48.50,23,40,110.96 ,39.06,18,32,111.14 ,40.56,18,31,181.52 ,45.06,20,49,148.78 ,52.15,23,41,165.95 ,57.51,26,48,204.31 ,47.21,21,54,101.39 ,39.06,18,29,236.40 ,51.29,24,64,124.84 ,45.49,20,35,466,53.6,5.12
P80723,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2 - [BASP1_HUMAN],69.16,1,12,12,237,5.545E6,2.463E7,3.215E7,1.984E7,1.096E7,1.938E7,2.163E7,2.162E7,1.149E7,8.834E6,1.373E8,2.057E7,1.495E7,1.896E7,1.577E7,18.17 ,20.70,3,6,58.50 ,59.91,11,13,87.07 ,63.44,10,21,22.77 ,36.12,6,7,57.25 ,56.83,8,14,81.70 ,56.83,10,19,77.84 ,68.72,10,19,77.63 ,69.16,10,20,66.65 ,51.10,9,16,54.20 ,63.00,8,14,112.37 ,63.44,11,28,85.18 ,54.19,9,19,36.06 ,60.79,10,11,87.76 ,57.27,10,20,44.05 ,47.58,8,10,227,22.7,4.63
O75531,Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1 - [BAF_HUMAN],67.42,3,7,7,153,4.999E6,1.134E8,1.618E7,3.824E7,3.966E7,3.856E7,1.011E8,2.155E7,3.573E8,5.529E7,2.424E8,2.120E8,1.822E7,1.576E9,1.118E8,4.53 ,14.61,2,2,95.56 ,57.30,5,21,8.44 ,34.83,2,2,6.02 ,21.35,2,2,39.59 ,56.18,4,11,15.94 ,48.31,3,4,25.18 ,34.83,2,7,18.31 ,34.83,2,5,74.49 ,50.56,4,18,24.10 ,43.82,3,7,33.97 ,53.93,6,9,59.36 ,67.42,6,16,11.13 ,41.57,3,4,146.57 ,59.55,5,37,29.34 ,48.31,3,8,89,10.1,6.09
P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1 - [TBB4B_HUMAN],66.52,4,3,22,1093,6.095E7,8.128E7,1.515E8,9.797E7,5.328E7,1.472E8,7.416E7,8.016E7,7.720E7,9.415E7,3.497E8,1.333E8,8.408E7,1.014E8,1.030E8,133.26 ,42.70,13,38,361.61 ,62.47,20,100,370.56 ,63.15,20,95,88.18 ,33.26,12,27,227.73 ,43.60,15,65,214.21 ,53.93,17,59,238.85 ,57.53,17,61,257.21 ,53.93,17,68,303.55 ,53.93,17,85,262.66 ,53.93,17,69,424.30 ,66.52,22,110,352.74 ,57.08,18,95,215.28 ,51.01,16,59,346.16 ,57.30,19,93,256.02 ,53.26,17,69,445,49.8,4.89
P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4 - [KPYM_HUMAN],65.35,2,31,31,846,1.601E8,7.394E7,1.975E8,1.748E8,8.656E7,1.088E8,2.127E8,1.014E8,1.186E8,2.066E8,2.717E8,2.025E8,1.908E8,1.411E8,1.127E8,159.88 ,47.65,18,36,309.77 ,60.45,26,71,321.71 ,56.50,24,79,115.67 ,47.46,17,26,182.21 ,47.83,20,47,194.30 ,53.11,21,44,259.49 ,59.89,25,64,178.08 ,49.72,19,45,200.32 ,46.70,18,50,300.55 ,57.82,25,74,308.20 ,59.70,26,74,290.32 ,50.28,21,70,221.22 ,54.43,22,54,261.99 ,55.18,23,65,206.93 ,51.04,19,47,531,57.9,7.84
P15531,Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1 - [NDKA_HUMAN],65.13,1,4,8,88,0.000E0,1.827E7,5.909E6,9.280E6,4.949E6,1.710E7,1.339E7,1.424E7,4.004E6,9.203E6,9.388E7,1.299E7,8.895E5,1.236E7,1.797E7,2.74 ,9.21,1,1,18.24 ,38.16,5,6,14.56 ,26.97,3,5,9.88 ,15.13,2,3,12.41 ,22.37,3,4,18.67 ,26.97,3,6,13.37 ,20.39,2,4,19.66 ,32.24,4,7,6.12 ,15.79,2,2,5.62 ,20.39,2,2,77.98 ,65.13,8,29,15.54 ,21.05,3,6,2.98 ,9.21,1,1,20.35 ,32.24,4,7,17.72 ,26.32,3,5,152,17.1,6.19
Q04695,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2 - [K1C17_HUMAN]",63.19,4,16,30,645,1.498E8,1.009E8,1.134E8,8.458E8,1.884E8,4.123E8,1.969E8,1.827E8,1.752E8,1.553E8,3.483E8,2.942E8,2.724E8,1.623E8,2.228E8,113.13 ,40.28,17,34,76.84 ,39.35,17,23,136.97 ,37.04,16,41,82.24 ,34.26,14,25,160.78 ,36.81,17,48,268.81 ,58.10,26,76,147.53 ,38.89,16,43,161.95 ,42.59,18,48,124.50 ,34.03,15,37,151.75 ,41.20,17,43,165.21 ,46.53,22,48,158.22 ,39.12,16,45,120.13 ,36.81,15,36,247.67 ,42.82,19,70,99.55 ,36.34,15,28,432,48.1,5.02
P62826,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3 - [RAN_HUMAN],62.96,1,9,9,198,5.430E7,5.029E7,8.982E7,1.110E8,3.405E7,8.700E7,9.905E7,4.596E7,7.044E7,8.205E7,1.258E8,1.591E8,9.553E7,6.739E7,7.193E7,29.78 ,20.83,4,9,41.09 ,31.48,6,12,82.74 ,25.00,6,25,19.03 ,24.54,5,6,48.19 ,33.33,6,14,22.37 ,14.81,3,7,48.97 ,20.83,4,15,19.13 ,37.50,4,7,55.00 ,20.83,4,16,44.24 ,20.83,4,13,72.82 ,25.00,6,20,53.85 ,24.54,5,16,36.50 ,24.54,5,11,58.90 ,25.00,6,18,28.38 ,14.81,3,9,216,24.4,7.49
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",62.67,3,8,18,1054,1.828E8,3.697E8,4.954E8,3.043E8,3.215E8,4.113E8,3.888E8,4.054E8,3.003E8,3.225E8,1.537E9,5.344E8,2.945E8,3.956E8,3.328E8,122.22 ,40.53,11,35,459.92 ,59.47,16,125,275.24 ,56.53,15,78,109.92 ,46.67,12,31,234.77 ,49.07,14,65,208.47 ,56.53,15,57,201.41 ,52.27,14,56,232.39 ,50.40,14,63,248.36 ,44.80,13,70,218.27 ,56.53,15,58,564.82 ,61.07,17,149,282.00 ,49.87,12,75,152.04 ,48.80,13,43,322.94 ,56.53,15,91,207.82 ,56.53,15,58,375,41.7,5.48
P60842,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1 - [IF4A1_HUMAN],62.56,1,12,23,383,1.506E7,2.643E7,6.167E7,3.554E7,2.289E7,3.983E7,3.141E7,2.868E7,3.359E7,4.739E7,1.149E8,6.714E7,3.199E7,4.393E7,3.242E7,43.16 ,23.89,7,11,143.34 ,53.20,19,39,159.15 ,52.96,19,42,25.13 ,13.05,5,7,77.64 ,33.00,11,19,73.30 ,35.71,12,19,72.03 ,28.82,10,19,90.55 ,38.18,13,23,109.15 ,36.45,12,28,117.06 ,38.42,13,29,140.33 ,52.22,21,41,136.57 ,45.57,16,34,73.02 ,36.45,11,19,115.27 ,35.47,12,26,107.79 ,52.71,16,27,406,46.1,5.48
P30086,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3 - [PEBP1_HUMAN],62.03,1,7,7,69,3.318E6,5.136E6,4.168E6,5.698E6,5.394E6,5.995E6,4.402E6,4.487E6,1.958E6,3.875E6,3.528E7,8.951E6,3.366E6,3.952E6,4.559E6,10.43 ,21.39,3,3,33.52 ,62.03,7,8,8.11 ,18.72,3,3,4.93 ,9.09,2,2,19.58 ,29.41,4,5,12.20 ,21.93,3,3,14.19 ,18.72,3,4,19.22 ,42.25,4,4,11.08 ,25.13,3,3,8.10 ,18.72,3,4,67.70 ,62.03,7,14,20.31 ,36.90,5,5,9.65 ,18.72,3,3,16.01 ,25.13,3,4,14.58 ,29.41,4,4,187,21.0,7.53
Q9NX58,Cell growth-regulating nucleolar protein OS=Homo sapiens OX=9606 GN=LYAR PE=1 SV=2 - [LYAR_HUMAN],62.01,1,28,28,856,1.881E8,4.521E8,3.569E8,2.319E8,1.988E8,1.715E8,1.567E8,3.723E8,2.066E8,1.941E8,1.897E8,3.077E8,2.301E8,2.400E8,2.208E8,85.83 ,24.54,10,25,497.06 ,55.41,25,144,272.57 ,45.38,19,80,68.25 ,24.27,8,17,226.54 ,40.63,18,71,163.46 ,42.22,15,45,144.66 ,35.09,14,44,246.46 ,40.11,20,74,202.81 ,35.36,14,58,151.31 ,40.63,16,44,125.52 ,40.90,14,34,222.39 ,41.95,18,67,130.91 ,33.25,12,37,255.97 ,41.16,19,76,128.37 ,36.68,12,40,379,43.6,9.54
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2 - [CH60_HUMAN]",61.43,1,29,29,468,9.602E6,3.149E7,3.444E7,1.827E7,2.097E7,3.294E7,2.680E7,2.626E7,1.575E7,1.402E7,1.652E8,2.888E7,1.516E7,3.075E7,2.271E7,45.87 ,16.23,8,13,144.48 ,43.28,18,34,145.09 ,45.38,19,37,37.66 ,14.66,7,10,146.49 ,43.11,19,37,117.92 ,33.68,14,29,109.29 ,39.44,17,28,135.99 ,41.19,17,34,75.60 ,20.77,10,21,71.80 ,28.27,13,20,359.54 ,60.03,28,85,130.42 ,41.54,18,32,67.88 ,20.94,10,18,178.45 ,41.54,18,45,96.65 ,30.37,13,25,573,61.0,5.87
P62258,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1 - [1433E_HUMAN],61.18,1,13,15,191,5.333E6,2.183E7,2.218E7,9.740E6,1.619E7,1.852E7,2.275E7,2.497E7,1.541E7,9.653E6,1.159E8,2.331E7,9.779E6,2.536E7,1.396E7,12.57 ,16.08,4,4,63.06 ,50.98,12,16,47.59 ,57.65,12,14,22.91 ,23.92,6,7,52.73 ,57.65,12,15,38.34 ,46.27,10,11,44.75 ,49.41,12,13,69.16 ,47.45,11,19,37.11 ,41.96,9,11,23.92 ,27.06,7,8,128.06 ,58.04,14,35,36.48 ,34.12,9,11,19.50 ,26.67,6,6,46.37 ,41.96,10,13,25.55 ,38.43,8,8,255,29.2,4.74
P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]",60.96,4,30,36,1803,2.419E8,2.745E8,1.449E8,1.163E9,4.852E8,5.291E8,2.396E8,2.237E8,2.195E8,2.021E8,4.829E8,3.934E8,3.612E8,1.886E8,2.992E8,354.85 ,48.12,25,87,532.79 ,48.97,26,131,361.03 ,53.42,25,96,344.79 ,51.88,28,89,692.91 ,56.16,29,185,550.92 ,54.97,28,131,406.38 ,53.42,26,102,448.81 ,48.97,25,114,496.08 ,51.37,23,127,450.65 ,52.23,26,115,509.38 ,56.34,29,121,622.80 ,52.74,26,154,449.41 ,49.32,26,111,517.86 ,52.40,24,134,454.70 ,52.40,25,106,584,58.8,5.21
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4 - [HS90B_HUMAN],59.67,4,25,45,1254,1.167E8,1.561E8,2.068E8,1.732E8,1.263E8,1.703E8,2.085E8,1.619E8,9.295E7,2.035E8,5.438E8,2.211E8,1.629E8,1.695E8,1.584E8,185.56 ,42.82,21,49,522.81 ,48.20,32,130,417.28 ,51.93,33,110,117.21 ,37.43,19,32,282.67 ,41.71,23,75,249.25 ,44.48,24,66,323.33 ,43.23,24,83,309.25 ,45.03,26,85,285.17 ,41.02,22,74,336.36 ,44.89,27,85,556.79 ,52.21,37,143,331.15 ,44.20,26,88,260.71 ,38.54,21,70,362.86 ,41.44,23,97,263.22 ,42.40,22,67,724,83.2,5.03
P68363,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1 - [TBA1B_HUMAN],59.65,3,2,22,772,1.514E8,1.445E8,3.298E8,2.138E8,1.431E8,2.069E8,2.519E8,1.965E8,2.253E8,3.414E8,4.439E8,3.859E8,2.754E8,2.510E8,2.434E8,92.46 ,46.34,14,26,382.12 ,54.77,17,99,220.99 ,57.43,19,61,88.35 ,47.01,13,23,167.97 ,50.33,16,46,131.53 ,47.67,14,31,181.58 ,56.54,18,45,167.21 ,53.22,16,43,174.57 ,51.44,16,45,225.79 ,57.65,20,58,339.48 ,56.76,20,87,234.51 ,56.54,18,60,176.68 ,53.88,17,43,229.79 ,56.54,18,62,170.79 ,51.88,16,43,451,50.1,5.06
P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1 - [1433Z_HUMAN],59.59,1,9,12,247,8.214E6,2.823E7,2.368E7,7.831E6,1.651E7,1.869E7,2.425E7,2.896E7,1.621E7,1.189E7,1.495E8,2.519E7,1.293E7,2.837E7,1.589E7,28.73 ,40.00,7,8,55.21 ,48.16,9,14,70.24 ,55.92,10,16,25.02 ,27.76,5,6,76.25 ,51.02,10,18,53.36 ,47.76,9,12,79.47 ,59.59,11,19,81.68 ,55.92,10,18,71.86 ,51.02,9,17,57.89 ,51.02,9,14,136.36 ,59.59,12,32,80.31 ,54.69,10,20,54.96 ,42.86,7,12,122.39 ,54.69,10,29,54.54 ,40.00,7,12,245,27.7,4.79
Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1 - [TBA1C_HUMAN],59.47,3,4,21,646,1.514E8,1.445E8,3.298E8,2.138E8,1.431E8,2.069E8,2.519E8,1.965E8,2.253E8,3.414E8,4.439E8,3.859E8,2.754E8,2.510E8,2.434E8,91.25 ,37.86,12,26,275.02 ,49.22,16,75,184.59 ,57.24,19,53,65.29 ,38.53,11,17,135.66 ,44.77,15,38,115.72 ,50.33,15,29,142.48 ,56.35,18,37,140.71 ,53.01,16,37,144.59 ,45.88,15,38,183.89 ,57.46,20,48,286.31 ,56.57,19,76,181.52 ,56.35,18,48,142.96 ,53.67,17,36,187.50 ,56.35,18,51,139.14 ,51.67,16,37,449,49.9,5.10
